classe	message
eau	Garantir l’accès de tous à l’eau et à l’assainissement et assurer une gestion durable des ressources en eau
eau	Une eau propre et accessible pour tous est un élément essentiel du monde dans lequel nous voulons vivre. Il y a assez d’eau sur la planète pour réaliser ce rêve.  Mais du fait d’économies déficientes ou de mauvaises infrastructures, chaque année des millions de personnes, des enfants pour la plupart, meurent de maladies liées à l’insuffisance de leur approvisionnement en eau et à un manque d’installations sanitaires et d’hygiène. 
eau	Les pénuries d’eau ou la mauvaise qualité de celle-ci et le manque de sanitaires ont un impact négatif sur la sécurité alimentaire, sur les choix de vie et sur les chances en matière d’éducation pour les familles pauvres à travers le monde. La sécheresse affecte certains des pays les plus pauvres du monde, aggravant la faim et la malnutrition. D’ici à 2050, au moins une personne sur quatre est susceptible de vivre dans un pays affecté par des pénuries d’eau chroniques ou fréquentes. 
eau	Dans tous les villages de ce district la disponibilité des ressources en eau est limitée en termes de quantité – en dehors de la saison des pluies – et en termes de qualité. Le nombre de points d’eau potable est notoirement insuffisant. Le taux de couverture des besoins actuels en zone rurale est de l’ordre de 12 %.Pour leur consommation journalière, les villageois utilisent l’eau des puits traditionnels, des trous d’eau, des mares et des rivières : ces eaux sont impropres à la consommation humaine. La majorité de ces points d’eau ne sont pas protégés des pollutions de surface et sont régulièrement contaminés par les eaux de ruissellement. Durant la saison sèche, la plus part de ces points d’eau se tarissent, et les villageois sont contraints de s’approvisionner dans d’autres endroits, souvent loin de leurs habitations, parfois à plusieurs kilomètres. Le manque d’eau se ressent alors pour la boisson, l’hygiène corporel, le lavage du linge, les besoins domestiques (vaisselle, nettoyage, etc.…) et pour l’abreuvage des animaux.
eau	Le Cambodge est majoritairement constitué d’une immense basse plaine sédimentaire, partiellement inondée dans son centre par les eaux du grand lac Tonlé Sap. Cette plaine est délimitée par un ensemble de massifs montagneux au nord et à l’est. Le district de Puok est situé dans la partie basse de la plaine. Il se caractérise par une végétation de type tropical reposant sur un socle de faible épaisseur et un socle, parfois affleurant, constitué de roches de grès dur ou de granit. Le régime climatique du Cambodge, combiné au contexte géologique de la région, conduit à passer d’une situation d’inondation en saison des pluies, à une situation de sécheresse en saison chaude. C’est une situation paradoxale qui s’explique. En effet, lors de la mousson, les sols généralement peu profonds sont vite saturés par les eaux pluviales, que le socle peut difficilement absorber. Lorsque les pluies de la mousson cessent, les couches superficielles se dessèchent rapidement par infiltration et évaporation : le peu d’eau qu’elles ont pu stocker se trouve vite épuisé.
eau	En conséquence le nombre de points d’eau permanents est très limité dans le district de Puok. Les procédés de creusages traditionnels et de puits fouillés manuellement se heurtent aux couches argileuses et ne peuvent que très rarement profiter des eaux stockées dans les couches supérieures. Dès lors la plupart des points d’eau se trouvent asséchés quelques semaines après la fin de la saison des pluies : c’est la période où la demande en eau est la plus critique. D’autres petits ouvrages exécutés par des artisans locaux, forages à la tarière manuelle avec tubages de faible diamètre, à de petites profondeurs, se trouvent souvent obstrués après quelques mois de service, sans possibilité de remise en état. Ces points d’eau par pompage ont un faible débit, ne sont pas permanents, et produisent une eau non potable. Le manque de maintenance conduit les habitants à les abandonner.
eau	Afin d’améliorer la situation hydrique et sanitaire de la région, le projet consiste à mettre en place des points d’eau potable dans les villages les plus nécessiteux. La construction de ces ouvrages est accompagnée d’une formation des villageois à leur maintenance et d’une sensibilisation à l’hygiène, afin d’assurer la pérennité de l’action engagée. Dans cet objectif, l’implication de la population et des autorités locales dans la mise en œuvre du projet est déterminante.
eau	Les bénéficiaires directs de ce projet sont les villageois les plus nécessiteux desservis en eau potable par les ouvrages mis en place. Les nombreux enfants sont particulièrement concernés, représentant la population la plus vulnérable aux maladies hydriques.
eau	L’accès à l’eau potable est un important progrès en termes de santé – l’eau potable de consommation et de cuisine apporte une diminution très sensible des maladies diarrhéiques et en particulier celles qui touchent les enfants en bas âge. – L’hygiène corporelle, le lavage du linge à l’eau pure et abondante, sont des facteurs importants dans la diminution des maladies dermatologiques. – Les fatigues et les douleurs occasionnées par le transport de l’eau, principalement aux femmes, sont réduites. – L’eau en abondance permet une réelle progression dans l’entretien de l’habitat.
eau	Distribution de l’eau L’eau est en accès libre et gratuit pour tous les villageois sans aucune discrimination. La population est grandement impliquée dans la mise en œuvre du projet et doit s’investir dans la maintenance des ouvrages. Ce qui permet l’absence de contribution financière pour la production de l’eau, tout en assurant la pérennité des installations qui appartiennent aux villages.
eau	Distribution de l’eau L’eau est en accès libre et gratuit pour tous les villageois sans aucune discrimination. La population est grandement impliquée dans la mise en œuvre du projet et doit s’investir dans la maintenance des ouvrages. Ce qui permet l’absence de contribution financière pour la production de l’eau, tout en assurant la pérennité des installations qui appartiennent aux villages.
eau	Après la pose du tubage, le forage est développé par la méthode Air – Lift durant 4 heures au minimum et jusqu’à ce que l’eau pompée soit claire et sans fine.
eau	Le Projet eau potable et assainissement en milieu rural en Haïti est conçu pour développer l’accès aux services d’alimentation en eau et d’assainissement dans les communautés rurales participantes. Ses objectifs sont les suivants : 1) élargir durablement et efficacement l’accès à l’eau potable dans les communautés participantes ; 2) encourager l’adoption de pratiques d’assainissement et d’hygiène dans ces mêmes communautés ; et 3) renforcer la capacité du Service national de l’eau potable (SNEP), des commissions locales de l’eau et des opérateurs professionnels, en coopération avec les pouvoirs locaux. Le projet comprend deux composantes. La composante 1 concerne le renforcement des capacités d’alimentation en eau et d’assainissement en milieu rural, ainsi que les processus de suivi, d’évaluation et de gestion de projet. Elle recouvre quatre activités majeures : premièrement, renforcer les capacités du bureau régional du SNEP aux Cayes par le recrutement de deux consultants (destinés à être engagés à titre permanent une fois le projet achevé), la fourniture de voitures et d’espaces de bureau, et la couverture des charges de fonctionnement ; deuxièmement, financer les services pour le renforcement des capacités en matière de gestion de projet, documentation, production de rapports, technologies de l’information et gestion environnementale ; cette activité est principalement prévue pour les deux premières années de mise en œuvre du projet, l’objectif étant que cette aide ne soit plus nécessaire pour le reste du projet ; elle comprendra également les audits financiers du projet ; troisièmement, la Banque se donne de financer les services relatifs à des études destinées à contrôler la réalisation des indicateurs de performance un an après la construction de systèmes d’eau potable et d’assainissement ; quatrièmement, elle aidera le SNEP à finaliser et diffuser la stratégie nationale d’alimentation en eau et d’assainissement en milieu rural. La composante 2 porte sur l’alimentation en eau proprement dite, l’assainissement de base et la promotion de l’hygiène ; elle permettra aux communautés participantes d’utiliser et de gérer des services dans ces domaines
eau	La Mauritanie a connu une sédentarisation massive depuis la sécheresse des années 1970, ce qui a rendu prioritaire les questions de l’accès à l’eau potable et à l’assainissement . Elle fait ainsi partie des 6 pays d’Afrique dont la couverture des besoins en eau potable est inférieure à 50%. Seulement 24 % de la population a accès à une installation sanitaire. La situation est particulièrement sensible dans les wilayas du Gorgol et du Guidimakha, déjà caractérisées par leur enclavement et les taux de pauvreté parmi les plus élevés du pays.
eau	Conséquence de ce manque d’infrastructures, de nombreux habitants utilisent les eaux de surface ou les puisards où s’abreuve le bétail. Raison pour laquelle la prévalence de maladies d’origine hydrique ou liées à un déficit d’assainissement (maladies diarrhéiques, paludisme,...) atteint des proportions particulièrement importantes dans ces localités rurales, surtout chez les enfants en bas âge, les services de santé ne couvrant qu’une partie des besoins et des territoires.
eau	De plus, la quête de d’eau est un frein au développement d’activités productives et à une scolarité efficace. Les points d’eau actuellement accessibles (mares, puisards et puits) sont souvent excentrés des lieux d’habitation, obligeant les ménages à consacrer beaucoup de temps au puisage et au transport d’eau. Cette activité est souvent dévolue aux femmes et aux enfants qui disposent ainsi de moins de temps pour se consacrer aux activités productives ou scolaires.
eau	Diagnostic global sur l’assainissement dans les villages bénéficiaires  Réalisation d’un plan d’action "assainissement" opérationnel Constitution et formation de Comités Hygiènes et Assainissement (CHA) dans les 32 localités  Formation de maçons locaux  Réalisation d’infrastructures de démonstration (dalles, puisards, latrines)  Campagnes de sensibilisation à l’hygiène et à l’assainissement (méthode "Assainissement Piloté par les Communautés" (ATPC))  Construction de latrines scolaires  Organisation de journées sanitaires dans les écoles  Suivi des changements de comportements à l’hygiène (enquête de comportement)
eau	42 latrines scolaires, 24 latrines familiales de démonstration et 32 puisards de démonstration  Près de 30 000 personnes supplémentaires ont accès à l’eau potable dans le Gorgol et le Guidimakha  52 forages réalisés, 26 exploitables, 22 exploités et 2 forages supplémentaires équipés grâce à leur débit élevé 3 réseaux d’adduction d’eau potable (AEP) et 9 mini-réseaux dont 2 extensions multi-villages) fonctionnant à l’énergie solaire. 
eau	3 réseaux d’adduction en eau potable, 5 mini-réseaux et 6 postes d’eau solaires Toutes ces infrastructures ont été mises en gestion en délégation , après procédure de sélection, par l’Agence de Régulation de l’Eau. 
eau	Mobilisation des ressources en eau : un des forages testé positivement n’a pas tenu le débit minimum pour être exploitable après pose de la pompe, en raison d’une baisse imprévue des conditions de réalimentation de la nappe phréatique. Une demande a été adressée au ministère de l’hydraulique pour implanter un nouveau forage dans la zone, ou connecter le réseau au système en cours de réalisation du projet Aftout.
eau	Vous souhaitez mettre en place des actions permettant de maîtriser vos consommations d’eau, réduire vos rejets et vous orienter vers une gestion optimisée de la ressource en eau.
eau	Ce projet avait pour objectif, dans un délai de 4 ans (2012-2015), de permettre aux habitants de la région du Sahel d’accéder durablement à l’eau potable et à un système d’assainissement. Objectif atteint ! Aujourd’hui, des infrastructures hydrauliques et sanitaires couvrent les besoins, et les habitants ont de bonnes pratiques d’hygiène. Les communes d’Aribinda, de Gorgadji, de Mansila, de Markoye, de Seytenga et de Titabé sont en mesure d’assumer leur rôle de maître d’ouvrage et d’assurer la bonne gouvernance des services Eau et Assainissement. Sur place, Eau Vive a formé des personnes-ressources et aidé à l’organisation afin de garantir la réparation des ouvrages hydrauliques en cas de pannes, d’assurer la construction de latrines, de veiller à la bonne gestion des points d’eau…
eau	Entièrement financé par le budget de l’Etat congolais pour près de 193 milliards de francs CFA, ce projet « Eau pour tous » d’une durée de trois ans a été confié à la société brésilienne Asperbras. Elle doit construire à terme 4 000 forages dans plus de 2 000 villages équitablement répartis sur l’ensemble du territoire congolais. « Nos projets consistent à créer un forage par village à partir de 100 à 350 habitants. A partir de 350 jusqu’à 600 ou 700 habitants on a deux forages. Et au-delà, jusqu’aux villages les plus grands, nous avons trois ou quatre forages », détaille Alphonse Gantsiélé, chef de service des ouvrages de production d'eau à la délégation générale aux grands travaux.
