classe	message
energie	Garantir l’accès de tous à des services énergétiques fiables, durables et modernes, à un coût abordable
energie	L’énergie est au centre de presque tous les défis majeurs, mais aussi des perspectives prometteuses, qui se présentent au monde aujourd’hui. Qu’il s’agisse d’emplois, de sécurité, de changement climatique, de production de nourriture ou d’accroissement des revenus, l’accès de tous à l’énergie est essentiel. L’énergie durable est une opportunité pour transformer les vies, les économies et la planète. Le Secrétaire général des Nations Unies, Ban Ki-moon, conduit l’initiative Energie durable pour tous, qui vise à assurer un accès universel aux services énergétiques modernes, améliorer les rendements énergétiques et accroître l’utilisation des sources d’énergie renouvelables.
energie	Une personne sur cinq n’a pas accès à l’électricité moderne.
energie	3 milliards de personnes dépendent du bois, du charbon ou des déchets animaux pour la cuisson et le chauffage.
energie	L’énergie est le principal facteur contribuant au changement climatique, ce qui représente environ 60 pour cent des émissions mondiales de gaz à effet de serre
energie	Réduire l’intensité du carbone dans la production de l’énergie est une cible-clef des objectifs climatiques à long terme
energie	D’ici à 2030, garantir l’accès de tous à des services énergétiques fiables et modernes, à un coût abordable
energie	D’ici à 2030, accroître nettement la part de l’énergie renouvelable dans le bouquet énergétique mondial
energie	D’ici à 2030, multiplier par deux le taux mondial d’amélioration de l’efficacité énergétique
energie	D’ici à 2030, renforcer la coopération internationale en vue de faciliter l’accès à la recherche et aux technologies relatives à l’énergie propre, notamment l’énergie renouvelable, l’efficacité énergétique et les nouvelles technologies relatives aux combustibles fossiles propres, et promouvoir l’investissement dans l’infrastructure énergétique et les technologies relatives à l’énergie propre
energie	D’ici à 2030, développer l’infrastructure et améliorer la technologie afin d’approvisionner en services énergétiques modernes et durables tous les habitants des pays en développement, en particulier des pays les moins avancés, des petits États insulaires en développement et des pays en développement sans littoral, dans le respect des programmes d’aide qui les concernent
energie	Nouveau record en 2016 pour les nouvelles capacités électriques issues des énergies renouvelables, selon l’ONU
