classe	message
villes	Smart City: Cisco déploie 1 milliard de dollars pour la ville du futur Cisco lance un programme de financement des projets de villes connectées et améliore sa plateforme IoT Kinetic for Cities. Cisco profite du Smart City Expo World Congress actuellement à Barcelone pour annoncer un nouveau programme dédié aux villes connectées. Doté d’un milliard de dollars, le City Infrastructure Financing Acceleration Program (CIFAP) vise à accélérer les déploiements des technologies numériques qui rendront les villes plus agréables à vivre (du moins sur le papier). Circulation mieux régulée, pollution réduite, dépenses énergétiques optimisées, sécurité renforcée, etc., autant de promesses qui construiront la ville intelligente de demain . Sauf que les projets de type smart city tardent à se concrétiser, y compris en France. La faute au manque de financement, considère Cisco. « Le financement est une pierre d’achoppement majeure pour les municipalités qui commencent leur transformation des villes connectées », avance Anil Menon, Président monde de Cisco Smart+Connected Communities. « Avec nos partenaires, Cisco apportera le capitale et l’expertise nécessaires pour faire des projets de villes intelligentes une réalité. » Dans son initiative de financement des nouveaux projets consacrés aux environnements urbanisés et qui se matérialise par le biais de son fonds corporate, Cisco reçoit le soutien de fonds d’investissement partenaires : Digital Alpha, APG et Whitehelm Capital.
villes	La sécurité renforcée sur Kinect for Cities Plusieurs modes de modèles économiques sont proposés car il ne s’agit pas de subventions attribuées à des collectivités. « Le financement par partage des revenus, par exemple, permet même à une ville de lier le financement aux résultats escomptés et d’étendre les budgets de fonctionnement futurs grâce aux flux de revenus provenant des nouveaux services qu’une infrastructure numérisée rend possibles », illustre Cisco. Et l’équipementier pourra mettre en exergue ses services et solutions dédiées à l’IoT (Internet des objets). Dans ce cadre, le fournisseur de solutions réseaux de San José a profité de l’événement barcelonais pour présenter de nouvelles fonctionnalités à sa plateforme de gestion des objets connectés  renommée Kinetic for Cities (et qui vient s’intégrer à la plateforme de données Kinetic IoT). Les nouveautés concernent notamment l’amélioration des solutions pour la sécurité sur voirie. L’automatisation complète des politiques et les données s’affichent désormais sur un tableau de bord amélioré avec vidéo intégrée. Le système peut désormais alerter les équipes, les mettre en contact et partager les informations via l’outil de collaboration Cisco Spark afin de mieux coordonner les actions à déployer. Le ramassage connecté des ordures Plus concret, Kinetic for Cities Waste Management permet de surveiller le remplissage des poubelles en temps réel. Une expérimentation aujourd’hui lancée en Espagne, dans six quartiers de Grenade (Andalousie), avec Ferrovial Services. 210 capteurs de remplissage, sur les 420 prévus, ont été déployés dans des bennes à ordures. Après traitement, les données (informatiques) récoltées à partir d’un réseau IoT Lora permettent de prendre des décisions appropriées en regard de la situation (par exemple face à un départ de feu ou une benne renversée) et d’optimiser les déplacements des engins de ramassage. L’objectif étant d’endiguer la pollution environnementale tout en assurant un service de qualité. Un exemple parmi d’autres des applications de smart cities auxquelles Cisco entend se connecter durablement.
villes	Bill Gates investit 80 millions de dollars dans une Smart City en Arizona L'une des entreprises de Bill Gates, patron de Windows avec Microsoft, vient d’investir 80 millions de dollars dans à peu près 10 000 hectares de terrain à l'ouest de Phoenix, en Arizona, pour financer la construction de la future “Smart City”. Dans cette Smart City, ou ville connectée appelée Belmont, les habitants disposeront d’infrastructures vertes hightech, d’Internet haut débit partout, de voitures autonomes et de centres de données. Bref, un lieu hyper-connecté propice à la création de nouvelles entreprises. Selon ses concepteurs, “Belmont accueillera une communauté avant-gardiste dotée d'une infrastructure de communication et des installations à la pointe de la technologie, conçue autour de réseaux numériques haut débit, de centres de données, de nouvelles technologies, de véhicules autonomes et de plateformes logistiques, elles aussi autonomes.”  1500 hectares vont être réservés pour le développement de zones commerciales et des bureaux, tandis que 190 hectares permettront la création d’écoles publiques, le tout pour accueillir un objectif de 80 000 habitants. Enfin, cette Smart City sera située le long de la future autoroute I-11 qui sera bientôt construite et qui reliera la ville de Las Vegas au Mexique.
villes	Une start-up française à la conquête du marché américain des smart cities Spécialisée dans la transformation des données numériques urbaines, la start-up française Opendatasoft propose à 500 villes américaines un portail de données clé en main, disponible sur la plateforme Amazon. Cela ressemble à une fable moderne, celle de la start-up française qui s’attaque à l’ambitieux marché américain de la smart city. L’entreprise parisienne OpenDataSoft, spécialisée dans la transformation des données numériques, notamment pour les collectivités locales, vient de lancer une campagne d’envergure auprès de 500 villes américaines réparties sur le territoire des Etats-Unis. L’opération ne manque pas d’audace. A chacune des 500 municipalités, l’entreprise propose un portail Web unique qui recense l’ensemble des données numériques anonymisées concernant la ville, disponibles en open data sur des sites nationaux. On y trouve des jeux de données démographiques, comme le nombre d’habitants, l’âge moyen ou le nombre d’enfants par famille, mais aussi des informations relatives à la qualité de l’air, la localisation des écoles ou le prix moyen de vente des logements. « Contrairement à la France, les données urbaines ne sont pas centralisées au niveau des collectivités aux Etats-Unis, même pour les transports », explique Jean-Marc Lazard cofondateur et PDG d’Opendatasoft, qui a mené une levée de fonds de 5 millions d’euros en 2016 pour développer sa start-up à l’international. L’équipe de data scientists (« scientifiques des données ») est allée chercher les informations là où elles étaient, notamment sur les sites des départements d’Etat, avant de les aspirer et de les organiser au niveau local. Simplifier les échanges de données Chaque portail présente une vitrine des activités de la ville. Mais ce n’est pas le principal objectif. Isolées, ces données n’ont guère de valeur. Seule la capacité de les agréger entraîne la création de nouveaux services et applications. C’est ce que veut démontrer la start-up qui propose aux communes de souscrire un abonnement à la plate-forme et d’y ajouter leurs propres données municipales. L’outil facilite ensuite les échanges de données, au sein de la collectivité ou entre acteurs publics et privés, grâce à des API, des interfaces de partage. L’initiative met en lumière les enjeux de la smart city dans les villes de taille modeste. Alors que les métropoles ont souvent les moyens de développer leurs propres outils numériques, les municipalités plus petites peinent à suivre. OpenDataSoft cible le marché des communes moyennes, « entre 60 000 et 130 000 habitants ». Le coût de l’abonnement augmente en fonction de la taille de la ville. Données relatives aux crimes et délits Pour percer sur le marché américain, la start-up a choisi de passer par Amazon, quitte à céder une part de ses bénéfices. Le grand groupe de l’e-commercehéberge déjà des données de collectivités publiques américaines. Reste à savoir si l’audace va payer. Alors qu’en France la loi du 7 octobre 2016 pour une République numérique oblige les services publics à ouvrir l’accès à leurs données dans un format adapté, rien n’impose aux collectivités américaines d’en faire autant. « Aux Etats-Unis, l’open data s’inscrit plutôt dans une culture de l’évaluation, une logique de la performance, pour rendre des comptes à l’usager sur les services publics », analyse Jean-Marc Lazard. Il est ainsi fréquent de trouver sur les portails municipaux d’open data des données relatives aux crimes et délits, très prisées des agents immobiliers pour évaluerles prix des logements. C’est le cas à Durham (Caroline du Nord) qui utilise l’outil français. OpenDataSoft mise aussi sur la demande croissante de transparence des administrés vis-à-vis des politiques publiques. Les portails affichent ainsi en bonne place les données relatives aux budgets des municipalités.
villes	Tunisie: "Bizerte Smart City" participe au Congrès mondial des villes intelligentes à Barcelone La Tunisie participe, du 14 au 16 novembre à Barcelone, au Smart City World Congress, un des plus grands événements mondiaux dans le domaine des connaissances, technologies et solutions pour les villes intelligentes qui adoptent les technologies susceptibles d’améliorer la qualité de vie de leurs habitants. Un stand de 60 m², regroupant plus de trente entreprises, associations et institutions tunisiennes partenaires, sera aménagé par l’association “Bizerte 2050” à ce congrès mondial qui accueillera 650 exposants de 120 pays et plus de 17 mille visiteurs attendus. “L’objectif de cette participation est de positionner Bizerte en tant que ville intelligente leader en Tunisie et ville motrice en Afrique à l’instar de nombre de villes à travers le monde tels que Londres, Barcelone, Singapour,… “, a indiqué le président de l’association qui conduit ce projet. Le projet Bizerte Smart City vise à faire de Bizerte une ville à énergie positive avec une croissance verte et ce, à travers l’identification des grands travaux d’infrastructures et l’identification d’un plan d’actions détaillé et la création d’une feuille de route permettant d’attirer de nouveaux investissements notamment dans les secteur des TIC et des énergies renouvelables. L’idée consiste à créer un pôle de compétence régional dédié aux énergies renouvelables, créer un incubateur privé dédié aux startups dans le domaine des énergies renouvelables et des smart cities, ainsi que l’aménagement d’une zone industrialo-portuaire dédiée aux énergies renouvelables et l’implantation de nouvelles entreprises opérant dans les TICs à Bizerte.Le choix de Bizerte s’est fait en se basant sur les potentialités que renferme la région : énergie renouvelable, ressources naturelles (lacs, forets, plages,..), infrastructure (ponts, parcs de développement, ports,…) et investissements étrangers. Le concept “Smart City” définit une ville où le développement est durable et où la qualité de vie est élevée. Concrètement, les “Smart Cities” s’intéressent à des secteurs très variés, tels que la mobilité urbaine, l’énergie, l’environnement, les équipements publics, le bâtit intelligent et durable, les infrastructures numériques, la communication digitale, les objets connectés, le vieillissement de la population, l’e-santé,…La technologie n’est pas l’idée directrice des villes intelligentes. Le citoyen est celui qui est au cœur du projet. Il est directement impliqué en tant que cible et acteur et doit comprendre que “la ville lui appartient”.
villes	Cusset s'ancre peu à peu dans l'ère des «smart cities » Le contrat signé l’an passé s’étend sur douze ans. Mais il porte déjà ses fruits. Avec notamment 10 % d’économie d’énergie. Et des perspectives encore plus ambitieuses. Un an après la signature d'un contrat de performance énergétique avec la société SAG Vigilec, Jean-Sébastien Laloy, maire, a convié des représentants de l'entreprise et de la municipalité pour un point d'étape sur l'avancée du dossier. Le contrat a été conclu dans le cadre d'un Crem, un marché public global qui permet de déléguer à une même entreprise à la fois les missions de conception, réalisation, exploitation et maintenance, avec des objectifs fixés. Un budget de 5,6 M€. Cet outil est particulièrement adapté au domaine de la performance énergétique et il répond aux besoins multiples de la ville : réduire la consommation énergétique et renouveler un parc d'éclairage public vieillissant voire obsolète, mais aussi valoriser le cadre de vie, développer la vidéo protection urbaine et la fibre optique. Le contrat s'étend sur douze ans, pour un budget prévisionnel de 5,6 millions d'euros, à comparer aux 683.000 € de dépenses annuelles de consommation énergétique, de fonctionnement et d'investissement liées à l'éclairage public, constatés avant 2014.
villes	Smart city : des collectivités intéressées mais qui peinent à s’emparer du sujet Syntec Numérique et France Urbaine ont organisé le 17 octobre un événement à Paris intitulé : « Smartcity : quelles stratégies pour nos territoires ? » L'occasion pour les différents intervenants d'évoquer l'intérêt des collectivités pour le sujet mais aussi de soulever les enjeux et les problématiques qui entourent de tels projets. Ô combien séduisant sur le papier, le concept de smart city occupe les esprits, alimente les débats mais ne reste bien souvent, dans les faits, qu’une idée dont les enjeux sont mal compris par les décideurs au sein de collectivités territoriales. C’est en tout cas la conclusion des échanges nourris qui ont pris place dans le cadre d’un événement organisé par Syntec Numérique et France urbaine le 17 octobre à Paris.
villes	De la ville informatique à la ville numérique Auteur d’un rapport sur les smart cities pour le compte du gouvernement en avril dernier, l’ancien député PS du Maine-et-Loire Luc Belot a été le premier à mettre les pieds dans le plat. Et à tempérer cette forme d’enthousiasme qui naît naturellement lorsque les possibilités offertes par les villes dites intelligents sont évoquées. « Notre capacité à faire passer nos villes du statut de commune qui maîtrise l’informatique à celle du numérique est un vrai enjeu. La ville numérique, c’est celle qui nous fait passer de l’ère informatique, de celle des silos, de l’efficience dans chacun des secteurs à une véritable politique de la transversalité. L’enjeu de la smart city, c’est cette transversalité. C’est la capacité à croiser d’une manière bien plus globale les expériences, les intelligences, les données. Les villes, les territoires, ne sont actuellement pas préparés pour cela. » Les élus peinent à comprendre les sujets du numérique Tout en rappelant les immenses opportunités que génère la smart city, ce spécialiste du numérique a insisté sur les difficultés qui entourent la mise en place de projets aussi ambitieux. Notamment la méconnaissance globale du sujet : « L’une des plus grandes difficultés aujourd’hui, c’est la compréhension du monde numérique, l’acculturation à ce monde-là et avoir bien conscience de ces difficultés. Y compris lorsqu’on a déjà entendu parler d’open data, ce n’est pas si simple. Nos élus, nos cadres territoriaux de par leur formation initiale, comprennent assez peu le monde dans lequel on est en train de vivre. » Un discours également tenu par Olivier Bianchi (PS), maire de Clermont-Ferrand. « Il y a un paradoxe dans lequel nous sommes aujourd’hui, c’est que nous n’avons jamais eu autant conscience qu’il y a des axes de développement sur ces sujets, une mutation, pour ne pas dire une révolution au niveau des territoires est en cours et elle va nous submerger. Et pourtant, il y a une méconnaissance, une ignorance des uns et des autres. Or, l’une des questions essentielles, c’est celle de la gouvernance » a tenu à souligner l’édile. Une compréhension globale nécessaire Cette problématique de la gouvernance a également été évoquée par Luc Belot, qui en a fait l’un des trois grands principes directeurs de la smart city dans son rapport. « Si on n’a pas un projet de smart city gouverné mais qu’on le confie à une cellule liée au service informatique ou à un opérateur quelconque, cela n’a pas de sens. On ne peut pas opérer aujourd’hui un territoire intelligent si on n’a pas cette compréhension globale » rappelle l’ancien parlementaire. « Il y a un premier travail interne qui consiste à faire comprendre les enjeux de ces nouvelles formes d’intelligence », a lancé de son côté Jean Rottner, maire de Mulhouse. « Le maire, le DGS doivent être les pilotes de cette réflexion. Et derrière, cette nouvelle manière de faire implique une appropriation de l’open data, des capteurs, de la civic tech. Pour atteindre cet objectif de ville des intelligences, il faut d’abord une véritable transformation politique et administrative de notre collectivité pour être les premiers évangélisateurs de ce message » juge l’élu.
villes	Maîtrise des données face aux entreprises du numérique Luc Belot a également insisté sur la nécessité de prendre en compte l’enjeu de la souveraineté. La question n’est, selon lui, « jamais posée ». De cela découlent d’évidentes difficultés car les collectivités territoriales ne doivent pas adopter des outils numériques sans savoir si elles ont la maîtrise totale des données impliquées. Fabien Cauchi, fondateur de Metapolis, une société spécialisée dans les questions liées à la smart city, considère qu’il s’agit là d’un enjeu majeur : « Les pouvoirs publics travaillent depuis toujours avec les acteurs privés. La grosse différence entre un réseau de données et un réseau de transport par exemple, c’est que le délégataire ne va pas partir avec la fibre ou les rames de tramway. En revanche, quand on ne sait plus où est la donnée, comment la récupérer ou qu’on ne sait pas comment l’exploiter a posteriori par méconnaissance des formats, cela pose une réelle problématique de dépendance. C’est un risque à ne pas minimiser. » Le troisième axe de réflexion lors des discussions a été est celui de l’inclusion. Environ 16% des Français ont des difficultés avec la lecture et l’écriture. Le passage au tout numérique pose donc question. « C’est inconcevable dans ce contexte d’aller vers la smart city », lance Luc Belot, qui a également profité de son intervention pour rappeler que la ville intelligente devait avant tout s’articuler autour du citoyen. Ce qui est souvent le cas lors des prises de parole. Mais plus rarement dans les faits.
villes	Une étude sur « Les enjeux numériques des territoires » IDC et Syntec Numérique ont présenté au cours de l’événement les résultats d’une étude conduite par leur soin et intitulée : « Les enjeux numériques des territoires. » Celle-ci met en évidence le fait que des initiatives de ville intelligente ont été mises en place dans de nombreuses collectivités. 91% de celles qui ont été sondées et qui sont engagées dans cette démarche se situent dans la fourchette de communes entre entre 5 000 et 20 000 habitants.
